date,state,percentile,variable,income
2024-01-01,Johor,1,mean,1638.0
2024-01-01,Johor,1,median,1682.0
2024-01-01,Johor,1,minimum,
2024-01-01,Johor,1,maximum,1912.0
2024-01-01,Johor,2,mean,2076.0
2024-01-01,Johor,2,median,2084.0
2024-01-01,Johor,2,minimum,1912.0
2024-01-01,Johor,2,maximum,2216.0
2024-01-01,Johor,3,mean,2337.0
2024-01-01,Johor,3,median,2343.0
2024-01-01,Johor,3,minimum,2218.0
2024-01-01,Johor,3,maximum,2471.0
2024-01-01,Johor,4,mean,2567.0
2024-01-01,Johor,4,median,2574.0
2024-01-01,Johor,4,minimum,2473.0
2024-01-01,Johor,4,maximum,2645.0
2024-01-01,Johor,5,mean,2751.0
2024-01-01,Johor,5,median,2762.0
2024-01-01,Johor,5,minimum,2646.0
2024-01-01,Johor,5,maximum,2833.0
2024-01-01,Johor,6,mean,2920.0
2024-01-01,Johor,6,median,2912.0
2024-01-01,Johor,6,minimum,2841.0
2024-01-01,Johor,6,maximum,2983.0
2024-01-01,Johor,7,mean,3050.0
2024-01-01,Johor,7,median,3052.0
2024-01-01,Johor,7,minimum,2986.0
2024-01-01,Johor,7,maximum,3119.0
2024-01-01,Johor,8,mean,3190.0
2024-01-01,Johor,8,median,3192.0
2024-01-01,Johor,8,minimum,3123.0
2024-01-01,Johor,8,maximum,3262.0
2024-01-01,Johor,9,mean,3323.0
2024-01-01,Johor,9,median,3324.0
2024-01-01,Johor,9,minimum,3264.0
2024-01-01,Johor,9,maximum,3389.0
2024-01-01,Johor,10,mean,3452.0
2024-01-01,Johor,10,median,3444.0
2024-01-01,Johor,10,minimum,3394.0
2024-01-01,Johor,10,maximum,3513.0
2024-01-01,Johor,11,mean,3567.0
2024-01-01,Johor,11,median,3571.0
2024-01-01,Johor,11,minimum,3515.0
2024-01-01,Johor,11,maximum,3621.0
2024-01-01,Johor,12,mean,3677.0
2024-01-01,Johor,12,median,3668.0
2024-01-01,Johor,12,minimum,3624.0
2024-01-01,Johor,12,maximum,3738.0
2024-01-01,Johor,13,mean,3773.0
2024-01-01,Johor,13,median,3768.0
2024-01-01,Johor,13,minimum,3739.0
2024-01-01,Johor,13,maximum,3824.0
2024-01-01,Johor,14,mean,3869.0
2024-01-01,Johor,14,median,3857.0
2024-01-01,Johor,14,minimum,3828.0
2024-01-01,Johor,14,maximum,3948.0
2024-01-01,Johor,15,mean,4018.0
2024-01-01,Johor,15,median,4024.0
2024-01-01,Johor,15,minimum,3950.0
2024-01-01,Johor,15,maximum,4068.0
2024-01-01,Johor,16,mean,4104.0
2024-01-01,Johor,16,median,4110.0
2024-01-01,Johor,16,minimum,4069.0
2024-01-01,Johor,16,maximum,4138.0
2024-01-01,Johor,17,mean,4181.0
2024-01-01,Johor,17,median,4169.0
2024-01-01,Johor,17,minimum,4141.0
2024-01-01,Johor,17,maximum,4240.0
2024-01-01,Johor,18,mean,4289.0
2024-01-01,Johor,18,median,4293.0
2024-01-01,Johor,18,minimum,4240.0
2024-01-01,Johor,18,maximum,4338.0
2024-01-01,Johor,19,mean,4397.0
