date,state,variable,income
2024,Johor,mean,1638
2024,Johor,mean,2076
2024,Johor,mean,2337
2024,Johor,mean,2567
2024,Johor,mean,2751
2024,Johor,mean,2920
2024,Johor,mean,3050
2024,Johor,mean,3190
2024,Johor,mean,3323
2024,Johor,mean,3452
2024,Johor,mean,3567
2024,Johor,mean,3677
2024,Johor,mean,3773
2024,Johor,mean,3869
2024,Johor,mean,4018
2024,Johor,mean,4104
2024,Johor,mean,4181
2024,Johor,mean,4289
2024,Johor,mean,4397
2024,Johor,mean,4514
2024,Johor,mean,4614
2024,Johor,mean,4707
2024,Johor,mean,4806
2024,Johor,mean,4893
2024,Johor,mean,5001
2024,Johor,mean,5109
2024,Johor,mean,5207
2024,Johor,mean,5308
2024,Johor,mean,5396
2024,Johor,mean,5490
2024,Johor,mean,5582
2024,Johor,mean,5661
2024,Johor,mean,5763
2024,Johor,mean,5857
2024,Johor,mean,5981
2024,Johor,mean,6106
2024,Johor,mean,6203
2024,Johor,mean,6311
2024,Johor,mean,6421
2024,Johor,mean,6516
2024,Johor,mean,6618
2024,Johor,mean,6710
2024,Johor,mean,6826
2024,Johor,mean,6922
2024,Johor,mean,7020
2024,Johor,mean,7124
2024,Johor,mean,7249
2024,Johor,mean,7354
2024,Johor,mean,7486
2024,Johor,mean,7633
2024,Johor,mean,7777
2024,Johor,mean,7906
2024,Johor,mean,8017
2024,Johor,mean,8108
2024,Johor,mean,8203
2024,Johor,mean,8344
2024,Johor,mean,8474
2024,Johor,mean,8643
2024,Johor,mean,8781
2024,Johor,mean,8922
2024,Johor,mean,9052
2024,Johor,mean,9205
2024,Johor,mean,9354
2024,Johor,mean,9516
2024,Johor,mean,9656
2024,Johor,mean,9838
2024,Johor,mean,10043
2024,Johor,mean,10205
2024,Johor,mean,10373
2024,Johor,mean,10536
2024,Johor,mean,10730
2024,Johor,mean,10899
2024,Johor,mean,11065
2024,Johor,mean,11303
2024,Johor,mean,12058
2024,Johor,mean,12735
2024,Johor,mean,12924
2024,Johor,mean,13118
2024,Johor,mean,13277
2024,Johor,mean,13456
2024,Johor,mean,13636
2024,Johor,mean,13825
2024,Johor,mean,14027
2024,Johor,mean,14233
2024,Johor,mean,14461
2024,Johor,mean,14734
2024,Johor,mean,15015
2024,Johor,mean,15503
2024,Johor,mean,15975
2024,Johor,mean,16510
2024,Johor,mean,16956
2024,Johor,mean,17542
2024,Johor,mean,18309
2024,Johor,mean,19302
2024,Johor,mean,20450
2024,Johor,mean,21909
2024,Johor,mean,24222
2024,Johor,mean,26910
2024,Johor,mean,32971
2024,Johor,mean,50560
2024,Kedah,mean,1172
2024,Kedah,mean,1398
2024,Kedah,mean,1508
2024,Kedah,mean,1603
2024,Kedah,mean,1688
2024,Kedah,mean,1775
2024,Kedah,mean,1853
2024,Kedah,mean,1933
