date,percentile,variable,income
2024,1,median,1373
2024,2,median,1680
2024,3,median,1906
2024,4,median,2085
2024,5,median,2229
2024,6,median,2370
2024,7,median,2498
2024,8,median,2609
2024,9,median,2725
2024,10,median,2835
2024,11,median,2934
2024,12,median,3033
2024,13,median,3120
2024,14,median,3209
2024,15,median,3308
2024,16,median,3399
2024,17,median,3491
2024,18,median,3584
2024,19,median,3675
2024,20,median,3768
2024,21,median,3862
2024,22,median,3967
2024,23,median,4078
2024,24,median,4171
2024,25,median,4272
2024,26,median,4376
2024,27,median,4478
2024,28,median,4575
2024,29,median,4685
2024,30,median,4791
2024,31,median,4891
2024,32,median,5001
2024,33,median,5097
2024,34,median,5197
2024,35,median,5299
2024,36,median,5398
2024,37,median,5506
2024,38,median,5607
2024,39,median,5707
2024,40,median,5810
2024,41,median,5906
2024,42,median,6039
2024,43,median,6191
2024,44,median,6336
2024,45,median,6449
2024,46,median,6559
2024,47,median,6670
2024,48,median,6775
2024,49,median,6872
2024,50,median,6970
2024,51,median,7090
2024,52,median,7283
2024,53,median,7455
2024,54,median,7614
2024,55,median,7757
2024,56,median,7883
2024,57,median,8015
2024,58,median,8204
2024,59,median,8401
2024,60,median,8529
2024,61,median,8673
2024,62,median,8812
2024,63,median,8956
2024,64,median,9110
2024,65,median,9264
2024,66,median,9428
2024,67,median,9588
2024,68,median,9772
2024,69,median,9986
2024,70,median,10192
2024,71,median,10368
2024,72,median,10539
2024,73,median,10721
2024,74,median,10886
2024,75,median,11072
2024,76,median,11278
2024,77,median,11479
2024,78,median,11860
2024,79,median,12235
2024,80,median,12567
2024,81,median,12783
2024,82,median,13059
2024,83,median,13354
2024,84,median,13639
2024,85,median,13938
2024,86,median,14280
2024,87,median,14681
2024,88,median,15182
2024,89,median,15654
2024,90,median,16202
2024,91,median,16839
2024,92,median,17540
2024,93,median,18369
2024,94,median,19406
2024,95,median,20738
2024,96,median,22302
2024,97,median,24778
2024,98,median,27681
2024,99,median,34566
2024,100,median,55034
2022,1,median,1156
2022,2,median,1431
2022,3,median,1642
2022,4,median,1801
2022,5,median,1945
2022,6,median,2080
2022,7,median,2189
2022,8,median,2298
2022,9,median,2408
2022,10,median,2513
2022,11,median,2607
2022,12,median,2701
2022,13,median,2796
2022,14,median,2896
2022,15,median,2993
2022,16,median,3073
2022,17,median,3158
2022,18,median,3239
2022,19,median,3318
2022,20,median,3398
2022,21,median,3482
2022,22,median,3563
2022,23,median,3651
2022,24,median,3738
2022,25,median,3829
2022,26,median,3919
2022,27,median,4009
2022,28,median,4096
2022,29,median,4183
2022,30,median,4269
2022,31,median,4357
2022,32,median,4445
2022,33,median,4534
2022,34,median,4631
2022,35,median,4719
2022,36,median,4816
2022,37,median,4908
