date,state,sector,value
2015,Johor,p0,110002.221
2015,Johor,p1,15610.314
2015,Johor,p2,475.64
2015,Johor,p3,32358.659
2015,Johor,p4,7269.16
2015,Johor,p5,53058.447
2015,Johor,p6,1230.001
2015,Kedah,p0,39549.581
2015,Kedah,p1,5423.368
2015,Kedah,p2,83.056
2015,Kedah,p3,11427.051
2015,Kedah,p4,862.638
2015,Kedah,p5,21465.109
2015,Kedah,p6,288.359
2015,Kelantan,p0,21407.736
2015,Kelantan,p1,5101.864
2015,Kelantan,p2,229.021
2015,Kelantan,p3,1147.468
2015,Kelantan,p4,444.65
2015,Kelantan,p5,14454.747
2015,Kelantan,p6,29.985
2015,Melaka,p0,36077.257
2015,Melaka,p1,4141.42
2015,Melaka,p2,43.988
2015,Melaka,p3,14068.303
2015,Melaka,p4,947.012
2015,Melaka,p5,16810.973
2015,Melaka,p6,65.56
2015,Negeri Sembilan,p0,40185.677
2015,Negeri Sembilan,p1,3235.335
2015,Negeri Sembilan,p2,165.377
2015,Negeri Sembilan,p3,15678.075
2015,Negeri Sembilan,p4,1339.339
2015,Negeri Sembilan,p5,18950.586
2015,Negeri Sembilan,p6,816.964
2015,Pahang,p0,49449.712
2015,Pahang,p1,11665.23
2015,Pahang,p2,1311.294
2015,Pahang,p3,10416.952
2015,Pahang,p4,2105.062
2015,Pahang,p5,23884.728
2015,Pahang,p6,66.445
2015,Perak,p0,63175.555
2015,Perak,p1,10351.594
2015,Perak,p2,354.095
2015,Perak,p3,11190.469
2015,Perak,p4,2578.368
2015,Perak,p5,38627.926
2015,Perak,p6,73.103
2015,Perlis,p0,5352.875
2015,Perlis,p1,1161.077
2015,Perlis,p2,31.698
2015,Perlis,p3,458.197
2015,Perlis,p4,193.228
2015,Perlis,p5,3414.264
2015,Perlis,p6,94.412
2015,Penang,p0,78146.215
2015,Penang,p1,2083.789
2015,Penang,p2,124.145
2015,Penang,p3,33596.784
2015,Penang,p4,2711.965
2015,Penang,p5,38917.261
2015,Penang,p6,712.27
2015,Sabah,p0,73776.128
2015,Sabah,p1,14816.807
2015,Sabah,p2,18207.153
2015,Sabah,p3,6265.78
2015,Sabah,p4,2446.413
2015,Sabah,p5,31754.571
2015,Sabah,p6,285.404
2015,Sarawak,p0,121585.277
2015,Sarawak,p1,16987.941
2015,Sarawak,p2,29852.444
2015,Sarawak,p3,32128.287
2015,Sarawak,p4,3842.61
2015,Sarawak,p5,38369.702
2015,Sarawak,p6,404.294
2015,Selangor,p0,268824.995
2015,Selangor,p1,4075.799
