date,state,total gdp
2015,Johor,220004.44
2015,Kedah,79099.16
2015,Kelantan,42815.47
2015,Kuala Lumpur,361727.54
2015,Labuan,11998.45
2015,Melaka,72154.51
2015,Negeri Sembilan,80371.35
2015,Pahang,98899.42
2015,Penang,156292.43
2015,Perak,126351.11
2015,Perlis,10705.75
2015,Sabah,147552.26
2015,Sarawak,243170.56
2015,Selangor,537649.99
2015,Terengganu,62248.89
2016,Johor,233364.45
2016,Kedah,82311.43
2016,Kelantan,44951.46
2016,Kuala Lumpur,383280.32
2016,Labuan,12824.06
2016,Melaka,75425.47
2016,Negeri Sembilan,83542.49
2016,Pahang,101750.44
2016,Penang,164986.56
2016,Perak,131916.82
2016,Perlis,11139.17
2016,Sabah,155036.09
2016,Sarawak,249025.89
2016,Selangor,563677.73
2016,Terengganu,64266.16
2017,Johor,247122.653
2017,Kedah,86133.17
2017,Kelantan,47002.35
2017,Kuala Lumpur,412348.99
2017,Labuan,13579.61
2017,Melaka,81659.97
2017,Negeri Sembilan,87631.46
2017,Pahang,109182.28
2017,Penang,173535.65
2017,Perak,138673.14
2017,Perlis,11389.30
2017,Sabah,167586.51
2017,Sarawak,260337.22
2017,Selangor,604372.90
2017,Terengganu,67957.11
2018,Johor,261171.889
2018,Kedah,89607.66
2018,Kelantan,48285.38
2018,Kuala Lumpur,440716.29
2018,Labuan,14489.88
2018,Melaka,84751.34
2018,Negeri Sembilan,91388.08
2018,Pahang,112579.88
2018,Penang,182468.47
2018,Perak,146061.62
2018,Perlis,11770.73
2018,Sabah,170024.03
2018,Sarawak,266019.65
2018,Selangor,646430.88
2018,Terengganu,69676.42
2019,Johor,268451.88
2019,Kedah,93682.40
2019,Kelantan,50958.36
2019,Kuala Lumpur,467585.73
2019,Labuan,15246.54
2019,Melaka,87166.80
2019,Negeri Sembilan,96067.11
2019,Pahang,116868.745
2019,Penang,189290.703
2019,Perak,151985.42
2019,Perlis,12302.67
2019,Sabah,171283.38
2019,Sarawak,273518.37
2019,Selangor,690016.923
2019,Terengganu,72001.04
2020,Johor,256147.13
2020,Kedah,92084.92
2020,Kelantan,50375.42
2020,Kuala Lumpur,434892.39
2020,Labuan,15226.72
2020,Melaka,82060.90
2020,Negeri Sembilan,92672.20
2020,Pahang,109770.93
2020,Penang,185381.36
2020,Perak,148527.98
2020,Perlis,11570.13
2020,Sabah,155680.10
2020,Sarawak,255112.577
2020,Selangor,653610.60
2020,Terengganu,67988.06
2021,Johor,262485.96
2021,Kedah,95010.14
2021,Kelantan,51563.79
2021,Kuala Lumpur,439765.76
2021,Labuan,15299.34
2021,Melaka,83743.26
2021,Negeri Sembilan,95574.18
2021,Pahang,110880.21
2021,Penang,198247.89
2021,Perak,153802.00
2021,Perlis,11733.30
2021,Sabah,158000.137
2021,Sarawak,263187.76
2021,Selangor,688205.48
2021,Terengganu,70471.80
2022,Johor,284739.39
2022,Kedah,101964.25
2022,Kelantan,53869.13
2022,Kuala Lumpur,481033.32
2022,Labuan,15925.02
2022,Melaka,91158.07
2022,Negeri Sembilan,101878.53
2022,Pahang,123492.41
2022,Penang,224562.10
2022,Perak,160853.77
2022,Perlis,12419.91
2022,Sabah,164212.86
2022,Sarawak,281397.66
2022,Selangor,770317.60
2022,Terengganu,74707.68
2023,Johor,296409.53
2023,Kedah,103564.11
2023,Kelantan,55295.91
2023,Kuala Lumpur,498601.86
2023,Labuan,16230.40
2023,Melaka,93866.90
2023,Negeri Sembilan,103728.09
2023,Pahang,129883.43
2023,Penang,231913.995
2023,Perak,165117.49
2023,Perlis,12686.36
2023,Sabah,166393.831
2023,Sarawak,284703.66
2023,Selangor,812142.91
2023,Terengganu,76402.83
